@RELATION reviewerTraining


@ATTRIBUTE show NUMERIC
@ATTRIBUTE though NUMERIC
@ATTRIBUTE subscribe NUMERIC
@ATTRIBUTE acceptable NUMERIC
@ATTRIBUTE particularly NUMERIC
@ATTRIBUTE simply NUMERIC
@ATTRIBUTE solid NUMERIC
@ATTRIBUTE nature NUMERIC
@ATTRIBUTE ultimately NUMERIC
@ATTRIBUTE familiar NUMERIC
@ATTRIBUTE entirely NUMERIC
@ATTRIBUTE believable NUMERIC
@ATTRIBUTE appealing NUMERIC
@ATTRIBUTE rare NUMERIC
@ATTRIBUTE fast NUMERIC
@ATTRIBUTE mostly NUMERIC
@ATTRIBUTE potential NUMERIC
@ATTRIBUTE necessary NUMERIC
@ATTRIBUTE particular NUMERIC
@ATTRIBUTE central NUMERIC
@ATTRIBUTE opportunity NUMERIC
@ATTRIBUTE perspective NUMERIC
@ATTRIBUTE largely NUMERIC
@ATTRIBUTE worthwhile NUMERIC
@ATTRIBUTE apparent NUMERIC
@ATTRIBUTE apparently NUMERIC
@ATTRIBUTE primarily NUMERIC
@ATTRIBUTE universal NUMERIC
@ATTRIBUTE superb NUMERIC
@ATTRIBUTE core NUMERIC
@ATTRIBUTE evident NUMERIC
@ATTRIBUTE therefore NUMERIC
@ATTRIBUTE fortunately NUMERIC
@ATTRIBUTE mesmerizing NUMERIC
@ATTRIBUTE competent NUMERIC
@ATTRIBUTE vastly NUMERIC
@ATTRIBUTE although NUMERIC
@ATTRIBUTE profanity NUMERIC
@ATTRIBUTE despite NUMERIC
@ATTRIBUTE unfortunately NUMERIC
@ATTRIBUTE difficult NUMERIC
@ATTRIBUTE contrived NUMERIC
@ATTRIBUTE unexpected NUMERIC
@ATTRIBUTE critical NUMERIC
@ATTRIBUTE melodramatic NUMERIC
@ATTRIBUTE unfortunate NUMERIC
@ATTRIBUTE distracting NUMERIC
@ATTRIBUTE film NUMERIC
@ATTRIBUTE movie NUMERIC
@ATTRIBUTE story NUMERIC
@ATTRIBUTE motion-picture NUMERIC
@ATTRIBUTE waste-money NUMERIC
@ATTRIBUTE dont-waste NUMERIC
@ATTRIBUTE running-time NUMERIC
@ATTRIBUTE message-subject NUMERIC
@ATTRIBUTE reply-message NUMERIC
@ATTRIBUTE rated-pg-13 NUMERIC
@ATTRIBUTE fine-kids NUMERIC
@ATTRIBUTE son-jeffrey NUMERIC
@ATTRIBUTE fine-teenagers NUMERIC
@ATTRIBUTE older-teenagers NUMERIC
@ATTRIBUTE theres-nothing NUMERIC
@ATTRIBUTE film-one NUMERIC
@ATTRIBUTE motion-pictures NUMERIC
@ATTRIBUTE running-length NUMERIC
@ATTRIBUTE film-makers NUMERIC
@ATTRIBUTE far-more NUMERIC
@ATTRIBUTE relationship-between NUMERIC
@ATTRIBUTE kind-film NUMERIC
@ATTRIBUTE very-good NUMERIC
@ATTRIBUTE theres-little NUMERIC
@ATTRIBUTE film-making NUMERIC
@ATTRIBUTE screen-presence NUMERIC
@ATTRIBUTE doesnt-take NUMERIC
@ATTRIBUTE film-maker NUMERIC
@ATTRIBUTE film-film NUMERIC
@ATTRIBUTE theres-enough NUMERIC
@ATTRIBUTE find-yourself NUMERIC
@ATTRIBUTE theres-one NUMERIC
@ATTRIBUTE entertainment-value NUMERIC
@ATTRIBUTE taking-place NUMERIC
@ATTRIBUTE even-better NUMERIC
@ATTRIBUTE entire-movie NUMERIC
@ATTRIBUTE rated-probably NUMERIC
@ATTRIBUTE end-credits NUMERIC
@ATTRIBUTE title-character NUMERIC
@ATTRIBUTE films-title NUMERIC
@ATTRIBUTE films-end NUMERIC
@ATTRIBUTE nothing-offend NUMERIC
@ATTRIBUTE doclength NUMERIC
@ATTRIBUTE diffposs NUMERIC
@ATTRIBUTE diffneg NUMERIC
@ATTRIBUTE posword NUMERIC
@ATTRIBUTE extremeWord NUMERIC
@ATTRIBUTE adjWord NUMERIC
@ATTRIBUTE adverbWord NUMERIC
@ATTRIBUTE verbWord NUMERIC
@ATTRIBUTE detWord NUMERIC
@ATTRIBUTE classFinal {A,B,C,D}


@DATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014998456225267022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015641184564684784,0,0,0,0.0013796579749882723,0.007520779549645406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238.0,0,0.05882352941176472,0.07142857142857142,0.0012094489553104134,0.18487394957983194,0.13865546218487396,0.3403361344537815,0.19747899159663865,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015258708316659183,0.015156260482459659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02435726852777238,0,0,0,0,0,0.018970800692898804,0,0,0.004975130273442558,0.011300161192017719,0.00588692006467192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198.0,0,0.0505050505050505,0.08585858585858586,4.8459402586511515E-4,0.18686868686868688,0.13131313131313133,0.3383838383838384,0.24242424242424243,A
0,0.010964467277750453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014497068346455136,0.0059269719629655845,0.0038596363337915236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.0,0.01324503311258278,0,0.09933774834437085,0.0019062837838667445,0.18543046357615894,0.16556291390728478,0.46357615894039733,0.2251655629139073,A
0,0,0,0,0.014321839875001607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007341350769348165,0.0027285755073408638,0.0035536895512348786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.0,0,0.06097560975609756,0.09146341463414634,5.850586409834927E-4,0.17073170731707318,0.09146341463414634,0.3719512195121951,0.25609756097560976,A
0.0042861514782861175,0.010412795968178103,0,0,0,0.007777947037596566,0,0,0,0,0,0,0,0,0.009500705178297226,0,0,0.00953960861163857,0,0,0,0,0,0,0.011408941332609956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004474488233347709,0.0028143797685779982,0.005498161192476604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318.0,0,0.018867924528301896,0.0880503144654088,3.0172835572733585E-4,0.18867924528301888,0.14150943396226415,0.3867924528301887,0.23270440251572327,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033901330181865218,0,0.005157567136305487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.0,0,0.05309734513274336,0.11061946902654868,0.0016982233118812884,0.22123893805309736,0.13274336283185842,0.415929203539823,0.23008849557522124,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043174925714873136,0,0,0.005032315678884426,0,0.006698909039109426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.0,0.011494252873563218,0,0.10344827586206896,0.0011028691623137102,0.1839080459770115,0.16091954022988506,0.4367816091954023,0.3333333333333333,A
0.004382624341141432,0.005323583790804882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013143330138740854,0,0.007038769518696866,0.0014388629685012915,0.0018739713389148555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032258064516129032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311.0,0,0.0064308681672025775,0.10610932475884244,9.255590076008952E-4,0.16720257234726688,0.13504823151125403,0.4855305466237942,0.28938906752411575,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032770319166388106,0.002679559180861687,0.0034898508167815574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006024096385542169,0,0,0,0,0,0,0,0,167.0,0,0.0718562874251497,0.08982035928143713,0.0011490972110334468,0.1497005988023952,0.17365269461077845,0.4251497005988024,0.2215568862275449,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004671768671403378,0,0.010661068653704635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.0,0.0060975609756097615,0,0.13414634146341464,5.850586409834927E-4,0.1951219512195122,0.17682926829268292,0.5182926829268293,0.25609756097560976,A
